,Harry Potter and the Chamber of Secrets,Unnamed: 1
798,"late. Books were stacked three deep on the mantelpiece, books with titles like Charm",
799,"Your Own Cheese, Enchantment in Baking, and One Minute Feasts — It’s Magic! And",
800,"unless Harry’s ears were deceiving him, the old radio next to the sink had just",
801,"announced that coming up was “Witching Hour, with the popular singing sorceress,",
802,Celestina Warbeck.”,
803,"Mrs. Weasley was clattering around, cooking breakfast a little haphazardly, throwing",
804,dirty looks at her sons as she threw sausages into the frying pan. Every now and then,
805,"she muttered things like “don’t know what you were thinking of,” and “never would have",
806,believed it.”,
807,"“I don’t blame you, dear,” she assured Harry, tipping eight or nine sausages onto his",
808,"plate. “Arthur and I have been worried about you, too. Just last night we were saying",
809,"we’d come and get you ourselves if you hadn’t written back to Ron by Friday. But really,”",
810,(she was now adding three fried eggs to his plate) “flying an illegal car halfway across,
811,the country — anyone could have seen you —”,
812,"She flicked her wand casually at the dishes in the sink, which began to clean themselves,",
813,clinking gently in the background.,
814,"“It was cloudy, Mum!” said Fred.",
815,“You keep your mouth closed while you’re eating!” Mrs. Weasley snapped.,
816,"“They were starving him, Mum!” said George.",
817,Page 29 of 291,
818,Get free e-books and video tutorials at www.passuneb.com,
819,,
820,,
821,"“And you!” said Mrs. Weasley, but it was with a slightly softened expression that she",
822,started cutting Harry bread and buttering it for him.,
823,"At that moment there was a diversion in the form of a small, redheaded figure in a long",
824,"nightdress, who appeared in the kitchen, gave a small squeal, and ran out again.",
825,"“Ginny,” said Ron in an undertone to Harry. “My sister. She’s been talking about you all",
826,summer.”,
827,"“Yeah, she’ll be wanting your autograph, Harry,” Fred said with a grin, but he caught his",
828,mother’s eye and bent his face over his plate without another word. Nothing more was,
829,"said until all four plates were clean, which took a surprisingly short time.",
830,"“Blimey, I’m tired,” yawned Fred, setting down his knife and fork at last. “I think I’ll",o to
831,bed and —”,
832,"“You will not,” snapped Mrs. Weasley. “It’s your own fault you’ve been up all night.",
833,You’re going to de-gnome the garden for me; they’re getting completely out of hand,
834,again —”,
835,"“Oh, Mum —”",
836,"“And you two,” she said, glaring at Ron and Fred. “You can go up to bed, dear,” she",
837,added to Harry. “You didn’t ask them to fly that wretched car —”,
838,"But Harry, who felt wide awake, said quickly, “I’ll help Ron. I’ve never seen a de-gnomin",
839,—”,
840,"“That’s very sweet of you, dear, but it’s dull work,” said Mrs. Weasley. “Now, let’s see",
841,what Lockhart’s got to say on the subject —”,
842,And she pulled a heavy book from the stack on the mantelpiece. George groaned.,
843,"“Mum, we know how to de-gnome a garden —”",
844,Harry looked at the cover of Mrs. Weasley’s book. Written across it in fancy gold letters,
845,were the words Gilderoy Lockhart’s Guide to Household Pests. There was a big,
846,Page 30 of 291,
847,Get free e-books and video tutorials at www.passuneb.com,
848,,
849,,
850,photograph on the front of a very good-looking wizard with wavy blond hair and bright,
851,"blue eyes. As always in the wizarding world, the photograph was moving; the wizard,",
852,"who Harry supposed was Gilderoy Lockhart, kept winking cheekily up at them all. Mrs.",
853,Weasley beamed down at him.,
854,"“Oh, he is marvelous,” she said. “He knows his household pests, all right, it’s a wonderful",
855,book…”,
856,"“Mum fancies him,” said Fred, in a very audible whisper.",
857,"“Don’t be so ridiculous, Fred,” said Mrs. Weasley, her cheeks rather pink. “All right, if yo",
858,"think you know better than Lockhart, you can go and get on with it, and woe betide you",
859,if there’s a single gnome in that garden when I come out to inspect it.”,
860,"Yawning and grumbling, the Weasleys slouched outside with Harry behind them. The",
861,"garden was large, and in Harry’s eyes, exactly what a garden should be. The Dursleys",
862,"wouldn’t have liked it — there were plenty of weeds, and the grass needed cutting —",
863,"but there were gnarled trees all around the walls, plants Harry had never seen spilling",
864,"from every flower bed, and a big green pond full of frogs.",
865,"“Muggles have garden gnomes, too, you know,” Harry told Ron they crossed the lawn.",
866,"“Yeah, I’ve seen those things they think are gnomes,” said Ron, bent double with his",
867,"head in a peony bush, “like fat little Santa Clauses with fishing rods…”",
868,"There was a violent scuffling noise, the peony bush shuddered, and Ron straightened",
869,"up. “This is a gnome,” he said grimly.",
870,“Gerroff me! Gerroff me!” squealed the gnome.,
871,"It was certainly nothing like Santa Claus. It was small and leathery looking, with a large,",
872,"knobby, bald head exactly like a potato. Ron held it at arm’s length as it kicked out at",
873,him with its horny little feet; he grasped it around the ankles and turned it upside down.,
874,"“This is what you have to do,” he said. He raised the gnome above his head (“Gerroff",
875,me!”) and started to swing it in great circles like a lasso. Seeing the shocked look on,
876,Page 31 of 291,
877,Get free e-books and video tutorials at www.passuneb.com,
878,,
879,,
880,"Harry’s face, Ron added, “It doesn’t hurt them —you’ve just got to make them really",
881,dizzy so they can’t find their way back to the gnome holes.”,
882,He let go of the gnome’s ankles: It flew twenty feet into the air and landed with a thud,
883,in the field over the hedge.,
884,"“Pitiful,” said Fred. “I bet I can get mine beyond that stump.”",
885,Harry learned quickly not to feel too sorry for the gnomes. He decided just to drop the,
886,"first one he caught over the hedge, but the gnome, sensing weakness, sank its razor-",
887,sharp teeth into Harry’s finger and he had a hard job shaking it off — until —,
888,"“Wow, Harry — that must’ve been fifty feet…”",
889,The air was soon thick with flying gnomes.,
890,"“See, they’re not too bright,” said George, seizing five or six gnomes at once. “The",
891,moment they know the de-gnoming’s going on they storm up to have a look. You’d,
892,think they’d have learned by now just to stay put.”,
893,"Soon, the crowd of gnomes in the field started walking away in a straggling line, their",
894,little shoulders hunched.,
895,"“They’ll be back,” said Ron as they watched the gnomes disappear into the hedge on",
896,the other side of the field. “They love it here… Dad’s too soft with them; he thinks they’re,
897,funny…”,
898,"Just then, the front door slammed.",
899,“He’s back!” said George. “Dad’s home!”,
900,They hurried through the garden and back into the house.,
901,Mr. Weasley was slumped in a kitchen chair with his glasses off and his eyes closed. He,
902,"was a thin man, going bald, but the little hair he had was as red as any of his children’s.",
903,"He was wearing long green robes, which were dusty and travel-worn.",
904,Page 32 of 291,
905,Get free e-books and video tutorials at www.passuneb.com,
906,,
907,,
908,"“What a night,” he mumbled, groping for the teapot as they all sat down around him.",
909,“Nine raids. Nine! And old Mundungus Fletcher tried to put a hex on me when I had my,
910,back turned…”,
911,Mr. Weasley took a long gulp of tea and sighed.,
912,"“Find anything, Dad?” said Fred eagerly.",
913,"“All I got were a few shrinking door keys and a biting kettle,” yawned Mr. Weasley.",
914,"“There was some pretty nasty stuff that wasn’t my department, though. Mortlake was",
915,"taken away for questioning about some extremely odd ferrets, but that’s the Committee",
916,"on Experimental Charms, thank goodness…”",
917,“Why would anyone bother making door keys shrink?” said George.,
918,"“Just Muggle-baiting,” sighed Mr. Weasley. “Sell them a key that keeps shrinking to",
919,"nothing so they can never find it when they need it.. Of course, it’s very hard to convict",
920,anyone because no Muggle would admit their key keeps shrinking — they’ll insist they,
921,just keep losing it. Bless,
922,"them, they’ll go to any lengths to ignore magic, even if it’s staring them in the face… But",
923,"the things our lot have taken to enchanting, you wouldn’t believe —”",
924,"“LIKE CARS, FOR INSTANCE?”",
925,"Mrs. Weasley had appeared, holding a long poker like a sword. Mr. Weasley’s eyes",
926,jerked open. He stared guiltily at his wife.,
927,"“C-cars, Molly, dear?”",
928,"“Yes, Arthur, cars,” said Mrs. Weasley, her eyes flashing. “Imagine a wizard buying a rusty",
929,old car and telling his wife all he wanted to do with it was take it apart to see how it,
930,"worked, while really he was enchanting it to make it fly.”",
931,Mr. Weasley blinked.,
932,"“Well, dear, I think you’ll find that he would be quite within the law to do that, even if —",
933,"er — he maybe would have done better to, um, tell his wife the truth… There’s a",
934,Page 33 of 291,
935,Get free e-books and video tutorials at www.passuneb.com,
936,,
937,,
938,"loophole in the law, you’ll find… As long as he wasn’t intending to fly the car, the fact",
939,that the car could fly wouldn’t —”,
940,"“Arthur Weasley, you made sure there was a loophole when you wrote that law!”",
941,shouted Mrs. Weasley. “Just so you could carry on tinkering with all that Muggle rubbish,
942,"in your shed! And for your information, Harry arrived this morning in the car you weren’t",
943,intending to fly!”,
944,“Harry?” said Mr. Weasley blankly. “Harry who?”,
945,"He looked around, saw Harry, and jumped.",
946,"“Good lord, is it Harry Potter? Very pleased to meet you, Ron’s told us so much about —",
947,”,
948,“Your sons flew that car to Harry’s house and back last night!” shouted Mrs. Weasley.,
949,"“What have you got to say about that, eh?”",
950,"“Did you really?” said Mr. Weasley eagerly. “Did it go all right? I — I mean,” he faltere",
951,"as sparks flew from Mrs. Weasley’s eyes, “that — that was very wrong, boys — very",
952,wrong indeed…”,
953,"“Let’s leave them to it,” Ron muttered to Harry as Mrs. Weasley swelled like a bullfrog.",
954,"“Come on, I’ll show you my bedroom.”",
955,"They slipped out of the kitchen and down a narrow passageway to an uneven staircase,",
956,"which wound its way, zigzagging up through the house. On the third landing, a door",
957,stood ajar. Harry just caught sight of a pair of bright brown eyes staring at him before,t
958,closed with a snap.,
959,"“Ginny,” said Ron. “You don’t know how weird it is for her to be this shy. She never shut",
960,up normally —”,
961,They climbed two more flights until they reached a door with peeling paint and a small,
962,"plaque on it, saying RONALD’S ROOM.",
963,Page 34 of 291,
964,Get free e-books and video tutorials at www.passuneb.com,
965,,
966,,
967,"Harry stepped in, his head almost touching the sloping ceiling, and blinked. It was like",
968,walking into a furnace: Nearly everything in Ron’s room seemed to be a violent shade of,
969,"orange: the bedspread, the walls, even the ceiling. Then Harry realized that Ron had",
970,covered nearly every inch of the shabby wallpaper with posters of the same seven,
971,"witches and wizards, all wearing bright orange robes, carrying broomsticks, and waving",
972,energetically.,
973,“Your Quidditch team?” said Harry.,
974,"“The Chudley Cannons,” said Ron, pointing at the orange bedspread, which was",
975,emblazoned with two giant black C’s and a speeding cannonball. “Ninth in the league.”,
976,"Ron’s school spellbooks were stacked untidily in a corner, next to a pile of comics that",
977,"all seemed to feature The Adventures of Martin Miggs, the Mad Muggle. Ron’s magic",
978,"wand was lying on top of a fish tank full of frog spawn on the windowsill, next to his fat",
979,"gray rat, Scabbers, who was snoozing in a patch of sun.",
980,Harry stepped over a pack of Self-Shuffling playing cards on the floor and looked out of,
981,the tiny window. In the field far below he could see a gang of gnomes sneaking one by,
982,"one back through the Weasleys’ hedge. Then he turned to look at Ron, who was",
983,"watching him almost nervously, as though waiting for his opinion.",
984,"“It’s a bit small,” said Ron quickly. “Not like that room you had with the Muggles. And",
985,I’m right underneath the ghoul in the attic; he’s always banging on the pipes and,
986,groaning…”,
987,"But Harry, grinning widely, said, “This is the best house I’ve ever been in.”",
988,Ron’s ears went pink.,
989,Page 35 of 291,
990,Get free e-books and video tutorials at www.passuneb.com,
991,,
992,,
993,CHAPTER FOUR,
994,At Flourish and Blotts,
995,Life at the Burrow was as different as possible from life on Privet Drive. The Dursleys,
996,liked everything neat and ordered; the Weasleys’ house burst with the strange and,
997,unexpected. Harry got a shock the first time he looked in the mirror over the kitchen,
998,"mantelpiece and it shouted, “Tuck your shirt in, scruffy!” The ghoul in the attic howled",
999,"and dropped pipes whenever he felt things were getting too quiet, and small explosions",
1000,from Fred and George’s bedroom were considered perfectly normal. What Harry found,
1001,"most unusual about life at Ron’s, however, wasn’t the talking mirror or the clanking",
1002,ghoul: It was the fact that everybody there seemed to like him.,
1003,Mrs. Weasley fussed over the state of his socks and tried to force him to eat fourth,
1004,helpings at every meal. Mr. Weasley liked Harry to sit next to him at the dinner table so,
1005,"that he could bombard him with questions about life with Muggles, asking him to",
1006,explain how things like plugs and the postal service worked.,
1007,"“Fascinating.” he would say as Harry talked him through using a telephone. “Ingenious,",
1008,"really, how many ways Muggles have found of getting along without magic.”",
1009,Harry heard from Hogwarts one sunny morning about a week after he had arrived at the,
1010,Burrow. He and Ron went down to breakfast to find Mr. and Mrs. Weasley and Ginny,
1011,"already sitting at the kitchen table. The moment she saw Harry, Ginny accidentally",
1012,knocked her porridge bowl to the floor with a loud clatter. Ginny seemed very prone to,
1013,knocking things over whenever Harry entered a room. She dived under the table to,
1014,retrieve the bowl and emerged with her face glowing like the setting sun. Pretending he,
1015,"hadn’t noticed this, Harry sat down and took the toast Mrs. Weasley offered him.",
1016,Page 36 of 291,
1017,Get free e-books and video tutorials at www.passuneb.com,
1018,,
1019,,
1020,"“Letters from school,” said Mr. Weasley, passing Harry and Ron identical envelopes of",
1021,"yellowish parchment, addressed in green ink. “Dumbledore already knows you’re here,",
1022,"Harry — doesn’t miss a trick, that man. You two’ve got them, too,” he added, as Fred",
1023,"and George ambled in, still in their pajamas.",
1024,For a few minutes there was silence as they all read their letters. Harry’s told him to,
1025,catch the Hogwarts Express as usual from King’s Cross station on September first. There,
1026,was also a list of the new books he’d need for the coming year.,
1027,SECOND-YEAR STUDENTS WILL REQUIRE:,
1028,"The Standard Book of Spells, Grade 2by Miranda Goshawk",
1029,Break with a Banshee by Gilderoy Lockhart,
1030,Gadding with Ghouls by Gilderoy Lockhart,
1031,Holidays with Hags by Gilderoy Lockhart,
1032,43 Travels with Trolls by Gilderoy Lockhart,
1033,Voyages with Vampires by Gilderoy Lockhart,
1034,Wanderings with Werewolves by Gilderoy Lockhart,
1035,Year with the Yeti by Gilderoy Lockhart,
1036,"Fred, who had finished his own list, peered over at Harry’s.",
1037,"“You’ve been told to get all Lockhart’s books, too!” he said. “The new Defense Against",
1038,the Dark Arts teacher must be a fan — bet it’s a witch.”,
1039,"At this point, Fred caught his mother’s eye and quickly busied himself with the",
1040,marmalade.,
1041,"“That lot won’t come cheap,” said George, with a quick look at his parents. “Lockhart’s",
1042,books are really expensive…”,
1043,Page 37 of 291,
1044,Get free e-books and video tutorials at www.passuneb.com,
1045,,
1046,,
1047,"“Well, we’ll manage,” said Mrs. Weasley, but she looked worried. “I expect we’ll be abl",
1048,to pick up a lot of Ginny’s things secondhand.”,
1049,"“Oh, are you starting at Hogwarts this year?” Harry asked Ginny.",
1050,"She nodded, blushing to the roots of her flaming hair, and put her elbow in the butter",
1051,dish.,
1052,"Fortunately no one saw this except Harry, because just then Ron’s elder brother Percy",
1053,"walked in. He was already dressed, his Hogwarts prefect badge pinned to his sweater",
1054,vest.,
1055,"“Morning, all,” said Percy briskly. “Lovely day.”",
1056,"He sat down in the only remaining chair but leapt up again almost immediately, pulling",
1057,"from underneath him a molting, gray feather duster — at least, that was what Harry",
1058,"thought it was, until he saw that it was breathing.",
1059,"“Errol!” said Ron, taking the limp owl from Percy and extracting a letter from under it",
1060,wing. “Finally— he’s got Hermione’s answer. I wrote to her saying we were going to try,
1061,and rescue you from the Dursleys.”,
1062,"He carried Errol to a perch just inside the back door and tried to stand him on it, but",
1063,"Errol flopped straight off again so Ron lay him on the draining board instead, muttering",
1064,“Pathetic.” Then he ripped open Hermione’s letter and read it out loud:,
1065,"“`Dear Ron, and Harry if you’re there,",
1066,“`I hope everything went all right and that Harry is okay and that you didn’t do anythi,g
1067,"illegal to get him out, Ron, because that would get Harry into trouble, too. I’ve been reall",
1068,"worried and if Harry is all right, will you please let me know at once, but perhaps it would",be
1069,better if you used a different owl because I think another delivery might finish your one of,.
1070,"“I’m very busy with schoolwork, of course’— How can she be?” said Ron in horror. “We’re",
1071,on vacation! —‘and we’re going to London next Wednesday to buy my new books. Why,
1072,don’t we meet in Diagon Alley?,
1073,Let me know what’s happening as soon as you can. Love from Hermione.’”,
1074,Page 38 of 291,
1075,Get free e-books and video tutorials at www.passuneb.com,
1076,,
1077,,
1078,"“Well, that fits in nicely, we can go and get all your things then, too,” said Mrs. Weasley,",
1079,starting to clear the table. “What’re you all up to today?”,
1080,"Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the",
1081,Weasleys owned. It was surrounded by trees that blocked it from view of the village,
1082,"below, meaning that they could practice Quidditch there, as long as they didn’t fly too",
1083,high.,
1084,"They couldn’t use real Quidditch balls, which would have been hard to explain if they",
1085,had escaped and flown away over the village; instead they threw apples for one another,
1086,"to catch. They took turns riding Harry’s Nimbus Two Thousand, which was easily the",
1087,best broom; Ron’s old Shooting Star was often outstripped by passing butterflies.,
1088,"Five minutes later they were marching up the hill, broomsticks over their shoulders.",
1089,"They had asked Percy if he wanted to join them, but he had said he was busy. Harry had",
1090,only seen Percy at mealtimes so far; he stayed shut in his room the rest of the time.,
1091,"“Wish I knew what he was up to,” said Fred, frowning. “He’s not himself. His exam results",
1092,came the day before you did; twelve O.W.L.s and he hardly gloated at all.”,
1093,"“Ordinary Wizarding Levels,” George explained, seeing Harry’s puzzled look. “Bill got",
1094,"twelve, too. If we’re not careful, we’ll have another Head Boy in the family. I don’t think",
1095,could stand the shame.”,
1096,"Bill was the oldest Weasley brother. He and the next brother, Charlie, had already left",
1097,"Hogwarts. Harry had never met either of them, but knew that Charlie was in Romania",
1098,"studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",
1099,"“Dunno how Mum and Dad are going to afford all our school stuff this year,” said",
1100,George after a while. “Five sets of Lockhart books! And Ginny needs robes and a wand,
1101,and everything…”,
1102,Harry said nothing. He felt a bit awkward. Stored in an underground vault at Gringotts,
1103,"in London was a small fortune that his parents had left him. Of course, it was only in the",
1104,"wizarding world that he had money; you couldn’t use Galleons, Sickles, and Knuts in",
1105,Muggle shops. He had never mentioned his Gringotts bank account to the Dursleys; he,
1106,Page 39 of 291,
1107,Get free e-books and video tutorials at www.passuneb.com,
1108,,
1109,,
1110,didn’t think their horror of anything connected with magic would stretch to a large pile,
1111,of gold.,
1112,Mrs. Weasley woke them all early the following Wednesday. After a quick half a dozen,
1113,"bacon sandwiches each, they pulled on their coats and Mrs. Weasley took a flowerpot",
1114,off the kitchen mantelpiece and peered inside.,
1115,"“We’re running low, Arthur,” she sighed. “We’ll have to buy some more today… Ah well,",
1116,"guests first! After you, Harry dear!”",
1117,And she offered him the flowerpot.,
1118,Harry stared at them all watching him.,
1119,“W-what am I supposed to do?” he stammered.,
1120,"“He’s never traveled by Floo powder,” said Ron suddenly. “Sorry, Harry, I forgot.”",
1121,“Never?” said Mr. Weasley. “But how did you get to Diagon Alley to buy your school,
1122,things last year?”,
1123,“I went on the Underground —”,
1124,“Really?” said Mr. Weasley eagerly. “Were there escapators? How exactly —”,
1125,"“Not now, Arthur,” said Mrs. Weasley. “Floo powder’s a lot quicker, dear, but goodness",
1126,"me, if you’ve never used it before —”",
1127,"“He’ll be all right, Mum,” said Fred. “Harry, watch us first.”",
1128,"He took a pinch of glittering powder out of the flowerpot, stepped up to the fire, and",
1129,threw the powder into the flames.,
1130,"With a roar, the fire turned emerald green and rose higher than Fred, who stepped right",
1131,"into it, shouted, “Diagon Alley!” and vanished.",
1132,Page 40 of 291,
1133,Get free e-books and video tutorials at www.passuneb.com,
1134,,
1135,,
1136,"“You must speak clearly, dear,” Mrs. Weasley told Harry as George dipped his hand into",
1137,the flowerpot. “And be sure to get out at the right grate…”,
1138,“The right what?” said Harry nervously as the fire roared and whipped George out of,
1139,"sight, too.",
1140,"“Well, there are an awful lot of wizard fires to choose from, you know, but as long as",
1141,you’ve spoken clearly —”,
1142,"“He’ll be fine, Molly, don’t fuss,” said Mr. Weasley, helping himself to Floo powder too",
1143,"“But, dear, if he got lost, how would we ever explain to his aunt and uncle?”",
1144,"“They wouldn’t mind,” Harry reassured her. “Dudley would think it was a brilliant joke i",I
1145,"got lost up a chimney, don’t worry about that —”",
1146,"“Well… all right… you go after Arthur,” said Mrs. Weasley. “Now, when you get into the",
1147,"fire, say where you’re going.”",
1148,"“And keep your elbows tucked in,” Ron advised.",
1149,"“And your eyes shut,” said Mrs. Weasley. “The soot —”",
1150,"“Don’t fidget,” said Ron. “Or you might well fall out of the wrong fireplace —”",
1151,“But don’t panic and get out too early; wait until you see Fred and George.”,
1152,"Trying hard to bear all this in mind, Harry took a pinch of Floo powder and walked to",
1153,"the edge of the fire. He took a deep breath, scattered the powder into the flames, and",
1154,stepped forward; the fire felt like a warm breeze; he opened his mouth and immediately,
1155,swallowed a lot of hot ash.,
1156,"“D-Dia-gon Alley,” he coughed.",
1157,It felt as though he was being sucked down a giant drain. He seemed to be spinning,
1158,very fast — the roaring in his ears was deafening — he tried to keep his eyes open but,
1159,the whirl of green flames made him feel sick —something hard knocked his elbow and,
1160,Page 41 of 291,
1161,Get free e-books and video tutorials at www.passuneb.com,
1162,,
1163,,
1164,"he tucked it in tightly, still spinning and spinning — now it felt as though cold hands",
1165,were slapping his face — squinting through his glasses he saw a blurred stream of,
1166,fireplaces and snatched glimpses of the rooms beyond — his bacon sandwiches were,
1167,"churning inside him — he closed his eyes again wishing it would stop, and then…",
1168,"He fell, face forward, onto cold stone and felt the bridge of his glasses snap.",
1169,"Dizzy and bruised, covered in soot, he got gingerly to his feet, holding his broken",
1170,"glasses up to his eyes. He was quite alone, but where he was, he had no idea. All he",
1171,"could tell was that he was standing in the stone fireplace of what looked like a large,",
1172,dimly lit wizard’s shop — but nothing in here was ever likely to be on a Hogwarts school,
1173,list.,
1174,"A glass case nearby held a withered hand on a cushion, a bloodstained pack of cards,",
1175,"and a staring glass eye. Evil-looking masks stared down from the walls, an assortment of",
1176,"human bones lay upon the counter, and rusty, spiked instruments hung from the ceiling.",
1177,"Even worse, the dark, narrow street Harry could see through the dusty shop window was",
1178,definitely not Diagon Alley.,
1179,"The sooner he got out of here, the better. Nose still stinging where it had hit the heart",","
1180,"Harry made his way swiftly and silently toward the door, but before he’d got halfway",
1181,"toward it, two people appeared on the other side of the glass — and one of them was",
1182,"the very last person Harry wanted to meet when he was lost, covered in soot, and",
1183,wearing broken glasses: Draco Malfoy.,
1184,Harry looked quickly around and spotted a large black cabinet to his left; he shot inside,
1185,"it and pulled the doors closed, leaving a small crack to peer through. Seconds later, a",
1186,"bell clanged, and Malfoy stepped into the shop.",
1187,"The man who followed could only be Draco’s father. He had the same pale, pointed face",
1188,"and identical cold, gray eyes. Mr. Malfoy crossed the shop, looking lazily at the items o",
1189,"display, and rang a bell on the counter before turning to his son and saying, “Touch",
1190,"nothing, Draco.”",
1191,"Malfoy, who had reached for the glass eye, said, “I thought you were going to buy me a",
1192,present.”,
1193,Page 42 of 291,
1194,Get free e-books and video tutorials at www.passuneb.com,
1195,,
1196,,
1197,"“I said I would buy you a racing broom,” said his father, drumming his fingers on the",
1198,counter.,
1199,"“What’s the good of that if I’m not on the House team?” said Malfoy, looking sulky and",
1200,badtempered. “Harry Potter got a Nimbus Two Thousand last year. Special permission,
1201,"from Dumbledore so he could play for Gryffindor. He’s not even that good, it’s just",
1202,because he’s famous… famous for having a stupid scar on his forehead…”,
1203,Malfoy bent down to examine a shelf full of skulls.,
1204,"“… everyone thinks he’s so smart, wonderful Potter with his scar and his broomstick —”",
1205,"“You have told me this at least a dozen times already,” said Mr. Malfoy, with a quelling",
1206,look at his son. “And I would remind you that it is not — prudent — to appear less than,
1207,"fond of Harry Potter, not when most of our kind regard him as the hero who made the",
1208,"Dark Lord disappear — ah, Mr. Borgin.”",
1209,"A stooping man had appeared behind the counter, smoothing his greasy hair back from",
1210,his face.,
1211,"“Mr. Malfoy, what a pleasure to see you again,” said Mr. Borgin in a voice as oily as hi",
1212,"hair. “Delighted — and young Master Malfoy, too — charmed. How may I be of",
1213,"assistance? I must show you, just in today, and very reasonably priced —”",
1214,"“I’m not buying today, Mr. Borgin, but selling,” said Mr. Malfoy.",
1215,“Selling?” The smile faded slightly from Mr. Borgin’s face.,
1216,"“You have heard, of course, that the Ministry is conducting more raids,” said Mr. Malfoy",
1217,taking a roll of parchment from his inside pocket and unraveling it for Mr. Borgin to,
1218,"read. “I have a few — ah — items at home that might embarrass me, if the Ministry were",
1219,to call…”,
1220,Mr. Borgin fixed a pair of pince-nez to his nose and looked down the list.,
1221,"“The Ministry wouldn’t presume to trouble you, sir, surely?”",
1222,Page 43 of 291,
1223,Get free e-books and video tutorials at www.passuneb.com,
1224,,
1225,,
1226,Mr. Malfoy’s lip curled.,
1227,"“I have not been visited yet. The name Malfoy still commands a certain respect, yet the",
1228,Ministry grows ever more meddlesome. There are rumors about a new Muggle,
1229,Protection Act — no doubt,
1230,"that flea-bitten, Muggle-loving fool Arthur Weasley is behind it —”",
1231,Harry felt a hot surge of anger.,
1232,"“— and as you see, certain of these poisons might make it appear —”",
1233,"“I understand, sir, of course,” said Mr. Borgin. “Let me see…”",
1234,"“Can I have that?” interrupted Draco, pointing at the withered hand on its cushion.",
1235,"“Ah, the Hand of Glory!” said Mr. Borgin, abandoning Mr. Malfoy’s list and scurrying",
1236,over to Draco. “Insert a candle and it gives light only to the holder! Best friend of thi,ves
1237,"and plunderers! Your son has fine taste, sir.”",
1238,"“I hope my son will amount to more than a thief or a plunderer, Borgin,” said Mr. Malfoy",
1239,"coldly, and Mr. Borgin said quickly, “No offense, sir, no offense meant —”",
1240,"“Though if his grades don’t pick up,” said Mr. Malfoy, more coldly still, “that may indee",
1241,be all he is fit for —”,
1242,"“It’s not my fault,” retorted Draco. “The teachers all have favorites, that Hermione",
1243,Granger —”,
1244,“I would have thought you’d be ashamed that a girl of no wizard family beat you in,
1245,"every exam,” snapped Mr. Malfoy.",
1246,"“Ha!” said Harry under his breath, pleased to see Draco looking both abashed and",
1247,angry.,
1248,"“It’s the same all over,” said Mr. Borgin, in his oily voice. “Wizard blood is counting f",r
1249,less everywhere —”,
1250,Page 44 of 291,
1251,Get free e-books and video tutorials at www.passuneb.com,
1252,,
1253,,
1254,"“Not with me,” said Mr. Malfoy, his long nostrils flaring.",
1255,"“No, sir, nor with me, sir,” said Mr. Borgin, with a deep bow.",
1256,"“In that case, perhaps we can return to my list,” said Mr. Malfoy shortly. “I am in",
1257,"something of a hurry, Borgin, I have important business elsewhere today —”",
1258,They started to haggle. Harry watched nervously as Draco drew nearer and nearer to his,
1259,"hiding place, examining the objects for sale. Draco paused to examine a long coil of",
1260,"hangman’s rope and to read, smirking, the card propped on a magnificent necklace of",
1261,"opals, Caution: Do Not Touch. Cursed — Has Claimed the Lives of Nineteen Muggle",
1262,Owners to Date.,
1263,Draco turned away and saw the cabinet right in front of him. He walked forward — he,
1264,"stretched out his hand for the handle “Done,” said Mr. Malfoy at the counter. “Come,",
1265,Draco —”,
1266,Harry wiped his forehead on his sleeve as Draco turned away.,
1267,"“Good day to you, Mr. Borgin. I’ll expect you at the manor tomorrow to pick up the",
1268,goods.”,
1269,"The moment the door had closed, Mr. Borgin dropped his oily manner.",
1270,"“Good day yourself, Mister Malfoy, and if the stories are true, you haven’t sold me half",f
1271,what’s hidden in your manor…”,
1272,"Muttering darkly, Mr. Borgin disappeared into a back room. Harry waited for a minute in",
1273,"case he came back, then, quietly as he could, slipped out of the cabinet, past the glass",
1274,"cases, and out of the shop door.",
1275,"Clutching his broken glasses to his face, Harry stared around. He had emerged into a",
1276,dingy alleyway that seemed to be made up entirely of shops devoted to the Dark Arts.,
1277,"The one he’d just left, Borgin and Burkes, looked like the largest, but opposite was a",
1278,"nasty window display of shrunken heads and, two doors down, a large cage was alive",
1279,with gigantic black spiders. Two shabby-looking wizards were watching him from the,
1280,"shadow of a doorway, muttering to each other. Feeling jumpy, Harry set off, trying to",
1281,Page 45 of 291,
1282,Get free e-books and video tutorials at www.passuneb.com,
1283,,
1284,,
1285,hold his glasses on straight and hoping against hope he’d be able to find a way out of,
1286,here.,
1287,An old wooden street sign hanging over a shop selling poisonous candles told him he,
1288,"was in Knockturn Alley. This didn’t help, as Harry had never heard of such a place. He",
1289,supposed he hadn’t spoken clearly enough through his mouthful of ashes back in the,
1290,"Weasleys’ fire. Trying to stay calm, he wondered what to do.",
1291,"“Not lost are you, my dear?” said a voice in his ear, making him jump.",
1292,"An aged witch stood in front of him, holding a tray of what looked horribly like whole",
1293,"human fingernails. She leered at him, showing mossy teeth. Harry backed away.",
1294,"“I’m fine, thanks,” he said. “I’m just —”",
1295,“HARRY! What d’yeh think yer doin’ down there?”,
1296,Harry’s heart leapt. So did the witch; a load of fingernails cascaded down over her feet,
